itemId,mappingType,technicalAntecedent,temporalCondition,citations,missingContext,rationale,permittedOutput,prohibitedInference,counterexample
"FLOW_SENSITIVE_CROSS_PROCESS_FLOW_REVIEW","INFORMATION_FLOW","LOCATION|MICROPHONE|CONTACTS|BODY_SENSORS|DEVICE_IDENTIFIER reaches IPC|NETWORK","Static potential path or bounded authorised runtime trace, source-labelled","GDPR Art. 5(1)(b)-(c); GDPR Art. 25; GDPR Art. 32","PROCESSING_PURPOSE; MINIMISATION_ASSESSMENT; RETENTION_JUSTIFICATION","A Binder, provider, worker, or other process boundary is retained as evidence for review; it is not evidence that a disclosure was unlawful.","REVIEW_REQUIRED","Runtime transfer, recipient identity, detector accuracy, or illegality","Missing XML is missing evidence, not a negative flow result"
"FLOW_SENSITIVE_DATA_TO_NETWORK_REVIEW","INFORMATION_FLOW","LOCATION|MICROPHONE|CONTACTS|CAMERA|BODY_SENSORS|DEVICE_IDENTIFIER reaches NETWORK|SMS","Static potential path or bounded authorised runtime trace, source-labelled","GDPR Art. 5(1)(a)-(c); GDPR Art. 6; GDPR Arts. 13-14; GDPR Art. 25","PROCESSING_PURPOSE; LAWFUL_BASIS; TRANSPARENCY_NOTICE; MINIMISATION_ASSESSMENT; RETENTION_JUSTIFICATION","A typed source-to-network or SMS reachability result can support an accountability review, but cannot establish the purpose, recipient, transfer, or legality of processing.","REVIEW_REQUIRED","Runtime transfer, recipient identity, detector accuracy, or illegality","Missing XML is missing evidence, not a negative flow result"
"FORMAL_LOCATION_ACCOUNTABILITY_CONTEXT","FORMAL_POLICY","MANIFEST_LOCATION","As supplied by typed evidence receipt","GDPR Art. 5(1)(a); GDPR Art. 5(1)(c); GDPR Art. 6; GDPR Arts. 13-14","PROCESSING_PURPOSE; LAWFUL_BASIS; TRANSPARENCY_NOTICE; MINIMISATION_ASSESSMENT; RETENTION_JUSTIFICATION","A declared location capability is not proof of processing, but it is sufficient to request purpose, lawful-basis, transparency, minimisation, and retention evidence before any reassuring conclusion.","REVIEW_REQUIRED","LEGAL_VIOLATION or LEGAL_COMPLIANCE","A non-match or complete represented context is not a compliance finding"
"FORMAL_SENSITIVE_MULTIMODAL_CONTEXT","FORMAL_POLICY","OBSERVED_BODY_SENSORS + OBSERVED_MICROPHONE","As supplied by typed evidence receipt","GDPR Art. 5(1)(c); GDPR Art. 9; GDPR Art. 25; GDPR Art. 35","PROCESSING_PURPOSE; LAWFUL_BASIS; ARTICLE_9_CONDITION; MINIMISATION_ASSESSMENT; DPIA_SCREENING","The formal antecedent requires observed, time-scoped evidence; capability declarations alone cannot activate this special-category review prompt.","REVIEW_REQUIRED","LEGAL_VIOLATION or LEGAL_COMPLIANCE","A non-match or complete represented context is not a compliance finding"
"FORMAL_TRACKER_TRANSPARENCY_CONTEXT","FORMAL_POLICY","TRACKER_SIGNATURE","As supplied by typed evidence receipt","GDPR Art. 5(1)(a)-(b); GDPR Art. 6; GDPR Arts. 13-14","PROCESSING_PURPOSE; LAWFUL_BASIS; TRANSPARENCY_NOTICE; RETENTION_JUSTIFICATION","A third-party SDK signature is a static indicator, not proof that a transfer occurred; it opens an evidence request rather than a legal finding.","REVIEW_REQUIRED","LEGAL_VIOLATION or LEGAL_COMPLIANCE","A non-match or complete represented context is not a compliance finding"
"TEMPORAL_CROSS_DOMAIN_PROFILING","TEMPORAL_PROFILE","CLIPBOARD_READ>=1 + DEVICE_IDENTIFIER>=1 + MEDIA_IMAGES>=1","Unordered package-scoped multiset within 600000 ms","GDPR Art. 5(1)(b); GDPR Art. 22","Purpose, lawful basis, necessity, controller context, and applicable exceptions","Cross-domain observations can be combined for profiling beyond the user-facing purpose and therefore warrant purpose-limitation review.","REVIEW_REQUIRED notification","Observed real-world behaviour, special-category status in fact, or illegality","One signal alone or cross-package signals cannot satisfy the profile"
"TEMPORAL_HIGH_FREQUENCY_LOCATION","TEMPORAL_PROFILE","LOCATION>=20","Unordered package-scoped multiset within 3600000 ms","GDPR Art. 5(1)(c); GDPR Art. 25","Purpose, lawful basis, necessity, controller context, and applicable exceptions","Repeated location observations within the regulation-owned window may indicate disproportionate collection and warrant a minimisation review.","REVIEW_REQUIRED notification","Observed real-world behaviour, special-category status in fact, or illegality","One signal alone or cross-package signals cannot satisfy the profile"
"TEMPORAL_MULTIMODAL_BIOMETRIC_CAPTURE","TEMPORAL_PROFILE","BODY_SENSORS>=1 + MICROPHONE>=1 + CAMERA>=1","Unordered package-scoped multiset within 900000 ms","GDPR Art. 9(1); GDPR Art. 9(2)(a)","Purpose, lawful basis, necessity, controller context, and applicable exceptions","Concurrent physiological, acoustic, and visual observations may enable sensitive multimodal inference and merit a contextual consent review.","REVIEW_REQUIRED notification","Observed real-world behaviour, special-category status in fact, or illegality","One signal alone or cross-package signals cannot satisfy the profile"
"TEMPORAL_POST_BACKGROUND_MEDIA_ACCESS","TEMPORAL_PROFILE","APP_BACKGROUNDED>=1 + MEDIA_LOCATION>=1","Unordered package-scoped multiset within 300000 ms","GDPR Art. 5(1)(a); GDPR Art. 7","Purpose, lawful basis, necessity, controller context, and applicable exceptions","A near-term background transition and media-location access may conflict with user expectations and should be explained before any conclusion is drawn.","REVIEW_REQUIRED notification","Observed real-world behaviour, special-category status in fact, or illegality","One signal alone or cross-package signals cannot satisfy the profile"
"TEMPORAL_WEARABLE_LOCATION_HEALTH","TEMPORAL_PROFILE","LOCATION>=1 + ACTIVITY_RECOGNITION>=1 + BODY_SENSORS>=1","Unordered package-scoped multiset within 1800000 ms","GDPR Art. 5(1)(c); GDPR Art. 9","Purpose, lawful basis, necessity, controller context, and applicable exceptions","The combination can support a richer health-and-location inference than any single observation, so necessity and special-category safeguards warrant review.","REVIEW_REQUIRED notification","Observed real-world behaviour, special-category status in fact, or illegality","One signal alone or cross-package signals cannot satisfy the profile"
